Date,Open,High,Low,Last,Close,Quantity,Turnover
7/19/2017,2415.5,2460,2415.1,2449.25,2449.6,1957788,47809.44
7/18/2017,2396.15,2443,2396.15,2415.1,2408.35,954001,23068.24
7/17/2017,2397.7,2422.1,2382.2,2397.1,2395.45,1105911,26570.95
7/14/2017,2383,2425,2375,2399.1,2397.45,2254216,54014.99
7/13/2017,2445,2472,2426.6,2439,2446.4,1565980,38358.73
7/12/2017,2482.5,2483.3,2430.1,2441,2439.45,1323225,32463.16
7/11/2017,2426,2514.8,2426,2482.5,2475.8,1768752,43831.95
7/10/2017,2341,2444.9,2341,2435,2434.95,398392,9667.14
7/7/2017,2350,2356.45,2325.5,2332,2331.95,616045,14436.98
7/6/2017,2359,2361.9,2340.1,2350.05,2347.55,513394,12058.35
7/5/2017,2360.8,2365,2345,2358,2356,407928,9604.33
7/4/2017,2373.3,2380.45,2350.05,2360.8,2366.85,607567,14380.53
7/3/2017,2357.4,2383.05,2343.1,2371,2373.6,737978,17478.72
6/30/2017,2324.4,2377,2323.1,2361,2362.35,876924,20704.28
6/29/2017,2359,2372.05,2323.1,2328.95,2333.25,1235913,28951.51
6/28/2017,2349.9,2358,2335,2346.25,2350.05,894863,20992.52
6/27/2017,2350.6,2384.7,2331.6,2348,2342.85,987165,23270.75
6/23/2017,2399.4,2413.95,2354,2359.8,2361.7,712378,17017.11
6/22/2017,2409,2431,2385,2391.45,2394.85,2887941,69397.87
6/21/2017,2440,2442.15,2397.2,2406.75,2406.3,828909,19995.3
6/20/2017,2431,2449,2380.3,2443.6,2445,835479,20278.28
6/19/2017,2416.9,2446.35,2405.15,2432,2431.7,822371,19987.76
6/16/2017,2414.95,2435,2386.5,2395,2399.7,1225213,29441.42
6/15/2017,2469,2469.7,2405,2410,2411.2,1498599,36385.09
6/14/2017,2455,2476,2455,2465.4,2470.2,744571,18386.51
6/13/2017,2465,2481.1,2447,2450,2451.55,587707,14486.35
6/12/2017,2497,2512.9,2470.4,2484.9,2487.2,813253,20229.48
6/9/2017,2520,2547.4,2486,2518.6,2507,1574017,39559.5
6/8/2017,2598,2604.95,2515.5,2520,2521.6,1665357,42357.31
6/7/2017,2697,2700,2576.55,2613.95,2615.25,2463888,64675.89
6/6/2017,2631,2708.95,2630,2705,2696,2973360,80077.81
6/5/2017,2565,2619.9,2560.15,2616,2603.95,750094,19331.4
6/2/2017,2556.25,2591.85,2552.5,2560,2564.9,677824,17412.2
6/1/2017,2530,2564,2530,2553,2553.6,540032,13786.18
5/31/2017,2533,2572.5,2528,2539.95,2546.6,1251365,31905.89
5/30/2017,2560,2575.95,2525,2548.2,2551.1,463817,11849.32
5/29/2017,2579,2596.5,2564,2572,2572.85,874645,22545.25
5/26/2017,2625,2626.85,2564.65,2570.05,2578.25,681275,17665.43
5/25/2017,2577,2637.55,2568,2615.05,2624.6,2047047,53333.77
5/24/2017,2534.8,2570,2529.65,2567.1,2559.15,1267274,32252.28
5/23/2017,2533.2,2564.15,2514,2523.7,2521.7,1374298,34776.45
5/22/2017,2510,2553.75,2510,2535,2531.35,831970,21054.61
5/19/2017,2536.2,2540.55,2486,2503.85,2507.15,893022,22384.3
5/18/2017,2450,2572,2442.25,2525,2536.2,2569297,64894.78
5/17/2017,2433.5,2460.75,2423,2450,2455.35,1438099,35137.29
5/16/2017,2380,2435,2373.45,2425.1,2429.15,1800513,43397.03
5/15/2017,2375.1,2377.95,2341.6,2368,2365.1,908802,21380.43
5/12/2017,2343.3,2369.9,2320.05,2369.9,2360.65,1157223,27205.9
5/11/2017,2347.3,2360,2322.75,2350.65,2349.45,1035651,24217.29
5/10/2017,2355,2356.15,2316,2335.75,2332.45,603194,14056.27
5/9/2017,2343.95,2361,2332.55,2355,2352.55,895135,21030.95
5/8/2017,2321,2347.4,2317.7,2342,2342.45,535891,12526.85
5/5/2017,2308,2332.5,2302.5,2323,2320.5,841237,19512.9
5/4/2017,2349.95,2350,2308.8,2331.9,2330.1,1354104,31506.9
5/3/2017,2295,2345,2268.5,2337.8,2337.3,1757203,40796.35
5/2/2017,2294,2302,2280,2288.15,2289.9,1191348,27298.41
4/28/2017,2294,2298.75,2268,2275,2273.15,1270255,28980.77
4/27/2017,2306.05,2327.8,2277.65,2289.8,2302.65,2886593,66599.93
4/26/2017,2340,2343.95,2303.05,2310,2310.35,1093719,25295.62
4/25/2017,2328,2344.45,2302.7,2310,2311.5,1574355,36416.07
4/24/2017,2300,2339.65,2282.5,2328,2328.1,1000010,23172.74
4/21/2017,2329.1,2335.65,2301,2312,2310.8,580577,13433.54
4/20/2017,2305.3,2332,2290.95,2325,2325.5,634421,14650.52
4/19/2017,2263.5,2348.7,2252.8,2302,2299.15,2813406,64637.24
4/18/2017,2330,2334.2,2302.05,2302.05,2308.8,865310,20070.52
4/17/2017,2330.4,2332.9,2295.15,2319,2314.85,1135441,26225.16
4/13/2017,2400,2409,2321.05,2335,2328.65,1250236,29264.59
4/12/2017,2422.5,2428,2383,2392,2393.25,525269,12624.35
4/11/2017,2417.3,2443.1,2406,2419.65,2419.3,778892,18923.59
4/10/2017,2432,2449,2405,2408,2422.25,1271632,30962.73
4/7/2017,2394.9,2433.25,2392.15,2432,2429.05,1138506,27539.49
4/6/2017,2400,2410,2392.55,2395,2400.05,860352,20645.33
4/5/2017,2419.9,2419.9,2395,2404.5,2401.25,1452784,34890.32
4/3/2017,2435,2435,2408.2,2410,2411.7,598444,14470.38
3/31/2017,2438.4,2440.85,2415,2423.1,2431.8,933522,22653.21
3/30/2017,2444.9,2465,2435,2436.7,2441,1493043,36557
3/29/2017,2436,2450.8,2425.6,2443.1,2444.6,858882,20956.57
3/28/2017,2410,2443.4,2410,2430.7,2429.95,576579,14021.76
3/27/2017,2426.95,2440,2406,2411,2412.05,1090635,26378.09
3/24/2017,2469.8,2469.8,2423.3,2428,2427.2,2549907,62165.81
3/23/2017,2482,2485.05,2447.2,2457.95,2460.35,1310319,32233.95
3/22/2017,2480.15,2496,2469.95,2472.3,2478.95,944358,23424.14
3/21/2017,2482,2492,2465,2484.85,2486.7,1686850,41842.2
3/20/2017,2525.95,2525.95,2466,2476.1,2480,1743770,43318.87
3/17/2017,2546,2546,2509.75,2532.15,2525.75,1296576,32752.8
3/16/2017,2506,2527,2506,2521.95,2520.9,785909,19795.65
3/15/2017,2572,2572.15,2493.85,2499,2498.3,1511248,37972.87
3/14/2017,2556.8,2587.15,2551.05,2569.85,2567.5,1701147,43720.98
3/10/2017,2519.6,2549.55,2513.95,2542.3,2542.25,585710,14865.9
3/9/2017,2514.15,2524,2504.05,2522,2519.75,429234,10801.99
3/8/2017,2502,2520,2492.2,2515.5,2512.2,895755,22449.67
3/7/2017,2482.9,2505,2475.05,2505,2499.8,755836,18854.64
3/6/2017,2480,2484,2454.55,2477.4,2472.5,700347,17281.72
